"family","meanlambda_rounded","selambda_rounded","meanpval_rounded","sepval_rounded","size_fam","percent_fam"
"Balistidae",0.842,0,0.006,0,28,19.7183098591549
"Pomacentridae",0.464,0.074,0,0,251,62.4378109452736
"Monacanthidae",0.005,0.027,0.984,0.082,43,16.044776119403
"Chaenopsidae",0.047,0.207,0.974,0.151,11,7.53424657534247
"Serranidae",0.046,0.086,0.885,0.247,159,15.7894736842105
"Sparidae",0.333,0.077,0.052,0.034,39,10.5121293800539
"Ostraciidae",0.268,0.411,0.996,0.034,12,11.214953271028
"Acanthuridae",0.707,0.094,0,0,67,55.3719008264463
"Labridae",0.374,0.057,0,0,337,76.7653758542141
"Gobiidae",0.378,0.085,0.015,0.025,154,15.1277013752456
"Microdesmidae",0.627,0.021,0.357,0.032,10,7.63358778625954
"Carangidae",0.607,0.092,0.043,0.032,49,17.0731707317073
"Labrisomidae",0,0,1,0,18,10.3448275862069
"Diodontidae",0.01,0.059,0.981,0.111,10,11.3636363636364
"Cirrhitidae",0.448,0.304,0.458,0.337,21,23.3333333333333
"Tetraodontidae",0.442,0.206,0.154,0.108,40,21.8579234972678
"Chaetodontidae",0.61,0.047,0,0,89,46.8421052631579
"Batrachoididae",0.149,0.22,0.805,0.278,9,5.0561797752809
"Haemulidae",0.599,0.084,0.001,0.002,44,11.6710875331565
"Lutjanidae",0.68,0.131,0.062,0.173,50,33.112582781457
"Apogonidae",0.161,0.263,0.856,0.282,49,9.51456310679612
"Pomacanthidae",0.524,0.081,0.012,0.01,42,22.8260869565217
"Sciaenidae",0.914,0.068,0.004,0.01,14,5.18518518518519
"Cottidae",0.715,0.393,0.459,0.323,14,6.33484162895928
"Gobiesocidae",0.397,0.406,0.677,0.346,7,2.5
"Blenniidae",0.107,0.064,0.336,0.269,106,18.6619718309859
"Plesiopidae",0.756,0.339,0.223,0.349,11,12.3595505617978
"Pseudochromidae",0.028,0.083,0.921,0.221,23,11.8556701030928
"Kyphosidae",0.631,0.136,0.375,0.25,31,20
"Tripterygiidae",0.101,0.21,0.831,0.33,41,13.6666666666667
"Gadidae",0,0,1,0,6,4.65116279069767
"Embiotocidae",1,0,0.268,0,9,12
"Caesionidae",0.097,0.244,0.988,0.098,18,25.3521126760563
"Callionymidae",0.071,0.226,0.952,0.182,13,5.26315789473684
"Scorpaenidae",0.819,0.12,0.001,0.007,36,10.1983002832861
"Malacanthidae",0,0,1,0,6,7.2289156626506
"Ephippidae",0.367,0.223,0.61,0.217,8,21.6216216216216
"Cheilodactylidae",0.402,0.325,0.752,0.331,19,25
"Mugilidae",0.005,0.033,0.998,0.016,6,2.15827338129496
"Stichaeidae",0,0,1,0,8,4.32432432432432
"Clinidae",0.09,0.236,0.912,0.233,11,5.94594594594595
"Scombridae",0,0,1,0,18,6.31578947368421
"Platycephalidae",0.151,0,0.82,0,9,4.01785714285714
"Muraenidae",0.36,0.458,0.749,0.386,35,11.7056856187291
"Lethrinidae",0,0,1,0,23,25.2747252747253
"Odacidae",0.937,0.139,0.223,0.194,11,26.8292682926829
"Sebastidae",0,0,1,0,18,7.9295154185022
"Hexagrammidae",0,0,1,0,6,20
"Holocentridae",0.549,0.137,0.002,0.001,37,13.5531135531136
"Clupeidae",0,0,1,0,7,2.05882352941176
"Mullidae",0.016,0.048,0.959,0.126,29,14.0096618357488
"Pinguipedidae",0.327,0.22,0.434,0.281,20,23.2558139534884
"Pempheridae",0.482,0.136,0.274,0.214,17,24.6376811594203
"Nemipteridae",0.075,0.128,0.826,0.195,20,10.3092783505155
"Synodontidae",0.006,0.031,0.991,0.048,15,10.6382978723404
"Siganidae",0.346,0.109,0.193,0.153,20,17.3913043478261
"Sphyraenidae",0.066,0.168,0.938,0.145,11,20
"Tree",0.73,0.013,0,0,2376,2376
